Date,Opponent,Current FIFA Rank of Opponent,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
30/03/2026,Finland,73,D,15,3,1,12,7,1
27/03/2026,Chile,54,L,9,3,2,9,5,4
19/11/2024,Mauritania,115,L,8,3,0,12,7,1
15/11/2024,Egypt,29,D,7,2,1,9,6,1
15/10/2024,Botswana,146,L,14,3,0,7,3,1
10/10/2024,Botswana,146,L,25,5,0,5,3,1
10/09/2024,Mauritania,115,W,8,2,2,14,5,0
06/09/2024,Egypt,29,L,12,1,0,14,8,3
