Team,Date,Opponent,FIFA Rank at Time,Result (W/L/D),Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
Australia,05/09/2024,Bahrain,91,L,11,4,0,4,2,1
Australia,11/06/2024,Palestine,95,W,10,6,5,11,2,0
Australia,06/06/2024,Bangladesh,181,W,15,4,2,2,0,0
Austria,31/03/2026,South Korea,25,W,5,1,1,11,2,0
Austria,18/11/2025,Bosnia and Herzegovina,,D,12,5,1,7,1,1
Austria,15/11/2025,Cyprus,126,W,13,7,2,3,0,0
Austria,12/10/2025,Romania,,L,3,1,0,9,2,1
Austria,09/10/2025,San Marino,,W,25,14,10,4,1,0
Austria,09/09/2025,Bosnia and Herzegovina,,W,9,4,2,14,3,1
Austria,06/09/2025,Cyprus,126,W,10,3,1,16,5,0
Austria,07/06/2025,Romania,,W,14,9,2,10,3,1
Austria,23/03/2025,Serbia,,L,12,5,0,13,4,2
Austria,17/11/2024,Slovenia,,D,22,4,1,9,3,1
Austria,14/11/2024,Kazakhstan,,W,23,8,2,6,1,0
Austria,13/10/2024,Norway,31,W,16,10,5,8,1,1
Austria,10/10/2024,Kazakhstan,,W,29,8,4,5,1,0
Austria,09/09/2024,Norway,31,L,9,3,1,6,4,2
Austria,06/09/2024,Slovenia,,D,11,4,1,8,1,1
Austria,02/07/2024,Turkey,,L,21,5,1,6,3,2
Austria,25/06/2024,Netherlands,,W,9,5,3,11,2,2
Belgium,31/03/2026,Mexico,15,D,5,3,1,5,3,1
Belgium,18/11/2025,Liechtenstein,206,W,23,13,7,2,1,0
Belgium,15/11/2025,Kazakhstan,110,D,20,8,1,9,3,1
Belgium,13/10/2025,Wales,37,W,16,6,4,9,3,2
Belgium,10/10/2025,North Macedonia,67,D,25,5,0,3,0,0
Belgium,07/09/2025,Kazakhstan,110,W,35,15,6,5,2,0
Belgium,04/09/2025,Liechtenstein,206,W,28,13,6,0,0,0
Belgium,09/06/2025,Wales,37,W,18,4,4,12,8,3
Belgium,06/06/2025,North Macedonia,67,D,17,4,1,7,2,1
Belgium,23/03/2025,Ukraine,32,W,19,6,3,6,1,0
Belgium,20/03/2025,Ukraine,32,L,9,4,1,12,7,3
Belgium,17/11/2024,Israel,77,L,12,4,0,10,4,1
Belgium,14/11/2024,Italy,12,L,11,3,0,11,4,1
Belgium,14/10/2024,France,1,L,20,7,1,14,4,2
