Date,Opponent,Friendly? (Y or N),Current FIFA Rank of Opponent,"Result (W, L or D)",Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals,Source of Data
01/04/2026,Canada,Y,30,D,5,2,0,14,6,0,https://www.espn.co.uk/football/team/results/_/id/659/tunisia ; https://football-ranking.com/fifa-rankings?page=1
29/03/2026,Haiti,Y,83,W,7,3,1,9,2,0,https://www.espn.co.uk/football/match/_/gameId/401856640/tunisia-haiti ; https://football-ranking.com/fifa-rankings?page=2
03/01/2026,Mali,N,52,D,13,4,1,8,1,1,https://www.espn.co.uk/football/team/results/_/id/659/tunisia ; https://football-ranking.com/fifa-rankings?page=2
27/12/2025,Nigeria,N,26,L,8,2,2,15,5,3,https://www.espn.co.uk/football/team/results/_/id/659/tunisia ; https://www.sofascore.com/football/rankings/fifa
23/12/2025,Uganda,N,88,W,15,6,3,9,1,1,https://www.espn.co.uk/football/team/results/_/id/659/tunisia ; https://football-ranking.com/fifa-rankings?page=2
18/11/2025,Brazil,Y,6,D,7,2,1,21,3,1,https://www.espn.co.uk/football/team/results/_/id/659/tunisia ; https://football-ranking.com/
06/06/2025,Morocco,Y,8,L,4,1,0,16,3,2,https://www.bbc.co.uk/sport/football/live/cj09d1j51lzt ; https://football-ranking.com/
